Categoria: Todas as categorias

Semana,"""Cientista de dados"": (Mundo)","""Análise de dados"": (Mundo)","""Analista de dados"": (Mundo)","""Ciência de dados"": (Mundo)"
2018-05-13,0,33,17,0
2018-05-20,15,38,10,7
2018-05-27,15,35,14,0
2018-06-03,17,31,0,0
2018-06-10,8,25,16,5
2018-06-17,7,37,0,0
2018-06-24,26,17,8,5
2018-07-01,10,17,12,0
2018-07-08,12,25,0,4
2018-07-15,14,24,5,8
2018-07-22,38,30,21,9
2018-07-29,27,15,14,0
2018-08-05,65,13,22,5
2018-08-12,22,13,13,19
2018-08-19,16,20,8,5
2018-08-26,18,21,11,0
2018-09-02,13,24,0,0
2018-09-09,10,35,13,0
2018-09-16,29,36,0,8
2018-09-23,23,25,5,14
2018-09-30,20,30,9,12
2018-10-07,5,24,13,0
2018-10-14,16,25,21,5
2018-10-21,11,20,18,0
2018-10-28,17,15,6,4
2018-11-04,16,31,5,0
2018-11-11,13,17,0,0
2018-11-18,42,20,7,4
2018-11-25,21,41,0,16
2018-12-02,19,18,5,7
2018-12-09,11,12,5,0
2018-12-16,25,12,10,7
2018-12-23,16,9,0,0
2018-12-30,22,0,5,25
2019-01-06,16,27,0,0
2019-01-13,18,21,7,0
2019-01-20,31,15,0,0
2019-01-27,20,14,8,6
2019-02-03,36,14,0,0
2019-02-10,28,24,0,9
2019-02-17,21,10,20,16
2019-02-24,19,14,18,7
2019-03-03,0,15,11,9
2019-03-10,16,22,0,0
2019-03-17,22,32,14,0
2019-03-24,21,18,15,0
2019-03-31,17,28,19,10
2019-04-07,17,22,8,11
2019-04-14,12,0,8,21
2019-04-21,8,25,25,7
2019-04-28,19,23,12,9
2019-05-05,12,33,10,9
2019-05-12,16,19,14,0
2019-05-19,19,37,0,7
2019-05-26,21,33,17,0
2019-06-02,20,23,5,15
2019-06-09,29,30,0,0
2019-06-16,29,18,9,7
2019-06-23,35,21,19,0
2019-06-30,21,28,5,6
2019-07-07,14,19,20,0
2019-07-14,17,24,11,16
2019-07-21,20,18,14,13
2019-07-28,25,14,10,0
2019-08-04,28,14,28,0
2019-08-11,21,25,13,0
2019-08-18,22,29,30,9
2019-08-25,27,29,17,16
2019-09-01,14,25,11,6
2019-09-08,21,29,16,5
2019-09-15,32,16,11,20
2019-09-22,24,20,11,12
2019-09-29,27,32,9,0
2019-10-06,31,29,4,14
2019-10-13,33,29,14,17
2019-10-20,24,20,19,7
2019-10-27,33,17,8,12
2019-11-03,33,21,9,25
2019-11-10,39,28,0,8
2019-11-17,37,27,6,11
2019-11-24,43,29,18,15
2019-12-01,26,25,11,8
2019-12-08,29,18,16,6
2019-12-15,11,9,0,9
2019-12-22,19,9,7,4
2019-12-29,22,9,15,0
2020-01-05,34,24,16,9
2020-01-12,41,16,16,10
2020-01-19,44,13,25,19
2020-01-26,21,8,21,23
2020-02-02,29,20,22,24
2020-02-09,20,27,8,14
2020-02-16,38,13,11,14
2020-02-23,26,22,6,9
2020-03-01,38,22,32,7
2020-03-08,34,16,17,16
2020-03-15,22,20,15,9
2020-03-22,10,20,6,4
2020-03-29,16,23,7,8
2020-04-05,6,25,18,16
2020-04-12,18,28,16,9
2020-04-19,23,30,16,6
2020-04-26,14,31,7,7
2020-05-03,24,23,6,23
2020-05-10,21,28,18,9
2020-05-17,26,29,15,19
2020-05-24,32,41,18,0
2020-05-31,40,51,20,10
2020-06-07,14,48,16,12
2020-06-14,27,32,10,11
2020-06-21,28,37,16,21
2020-06-28,29,34,13,10
2020-07-05,28,22,23,12
2020-07-12,27,37,14,9
2020-07-19,24,29,18,15
2020-07-26,23,23,23,17
2020-08-02,23,29,18,19
2020-08-09,20,26,13,10
2020-08-16,19,28,15,0
2020-08-23,22,23,30,18
2020-08-30,29,27,0,17
2020-09-06,15,26,27,5
2020-09-13,20,35,25,11
2020-09-20,20,33,14,9
2020-09-27,24,51,25,14
