video_id,comments
1YE2s5uW3ro,[]
3Kk1A61j26A,"[{'comment_text': 'Granzotti é fera demais!! Papo top!', 'likes': 2}, {'comment_text': 'Parabéns João top d+', 'likes': 1}]"
PXAhbz9Mz-s,"[{'comment_text': '- A Polly é fera!', 'likes': 1}, {'comment_text': 'Escutei o episódio pelo Spotify e vim conferir aqui. Muito massa a Polly!', 'likes': 1}, {'comment_text': 'Inteligência e interessantes! Isso mesmo. Estou adorando os episódios', 'likes': 1}, {'comment_text': 'Polly manda bem demaais! Super podcast e episódio mais que especial.', 'likes': 3}]"
vLYFX5mopuk,"[{'comment_text': 'Sou da área de TI, sou muito bom em preparação de dados, ETL, modelagem. Mas na hora do Data Mining meu conhecimento de estatística é sofrível. O que eu faço? Rs', 'likes': 0}, {'comment_text': 'Queria saber sobre a jornada de vcs ?', 'likes': 0}, {'comment_text': 'Sou dentista a 5 anos. E estou estudando a possibilidade de migrar pra ciência de dados. Estou muito animada e começo mês que vem a estudar. E pretendo fazer faculdade de ciência de dados futuramente.', 'likes': 0}, {'comment_text': 'Uma pergunta amigo ? sobre estudar sql. Qual banco de dados começar a estudar ?', 'likes': 1}, {'comment_text': 'Melhor explicação para quem está tentando iniciar na area de dados. Parabéns mestre. Ganhou mais um seguidor.', 'likes': 1}, {'comment_text': 'Show! Valeu', 'likes': 1}, {'comment_text': 'Acha que o bacharelado em psicologia pode ajudar na análise de dados e formulação de estatísticas?', 'likes': 1}, {'comment_text': 'Leon, que sensacional, já estou inscrito. Estou tentando migrar da área de Logística (onde sou um gestor desempregado) para a área de Dados, onde busco uma oportunidade de reinício. Estou estudando SQL e PBI, e na sequência pretendo fazer um curso introdutório de Python. Como já tenho experiência de anos com gestão de pessoas e processos diversos, será que terei alguma chance de buscar uma vaga ao menos como Analista Júnior em menos de 6 meses? Isso é viável?', 'likes': 1}, {'comment_text': 'Obrigado pelo vídeo, bastante esclarecedor!', 'likes': 1}, {'comment_text': 'Justamente o que mais me assusta na migração é a matemática, porque eu sou TERRÍVEL em matemática. Matemática básica, um teorema de Pitagoras, um Bhaskara, regra de três, essas coisas mais de boa eu tiro de letra, mas quando começa a meter aquelas fórmulas loucas, derivada e integral, correlação de Perason, aqueles símbolos delta, beta, gama, e o caramba a quatro eu fico boiando... Daí eu fico me perguntando caramba, se com 1 semestre de cálculo na faculdade eu quase tranquei o curso porque peguei dp, imagina tendo que trabalhar com isso todo dia... Eu me mato', 'likes': 1}]"
XHHBrqCF3dI,"[{'comment_text': 'Esse professor citado seria o Remis? Gostaria muito de ver ele aqui falando dos projetos que ele fez no TCU e em orientações dos alunos.', 'likes': 1}, {'comment_text': 'Meu sonho é morar em Londres, estou fazendo transição de carreira pra essa área também e nasci no mesmo dia do Gus. Destino? Hahahaha', 'likes': 0}, {'comment_text': 'Valeu 👍', 'likes': 2}, {'comment_text': 'Show demais, virei fã do Gus', 'likes': 2}]"
tyTMuW_kp5E,"[{'comment_text': 'Cíntia seus vídeos  faz muita  falta, eu adoro', 'likes': 1}, {'comment_text': 'Muito bom! Tô na fase de migração. Já trabalho na área de faturamento, mas quero mudar para área de dados. To com 24 anos, tenho uma base em programação (já fiz facul), e atualmente estou cursando Economia (2 ano da facul). Espero que com a experiência que tenho até agora alinhada com as hard skills que vou aprendendo no decorrer desse ano em análise de dados me ajude a conseguir um emprego no ramo a partir do ano que vem.', 'likes': 1}]"
1XTmnSkMofM,"[{'comment_text': 'Não quero questionar, veja bem, estou aprendendo. Mas se ela recebe 5k cv´s, após ter minerado a pilha, chega na mão dela um cv imenso, será que ela vai olhar ou jogar fora ?', 'likes': 0}, {'comment_text': 'Olá ... Uma pergunta: alguns recrutadores preferem um CV  mais resumido. Outros mais completos. Como lidar com isso ?', 'likes': 0}, {'comment_text': 'Oi Camila! Você menciona o open tô work, mas é quando colocamos para visualização apenas para o recruiter, isso interfere em algo nas buscas? Isso é usado para quando estamos trabalhando, mas em busca de outras oportunidades. Isso entra como algo ruim ou bom?', 'likes': 1}, {'comment_text': ""Muito bom!!! Foi uma aula da Camila Ramos e dicas muito importantes. Como disse o Schiavon, o episódio #30 passará a ser obrigatório. Achei interessante quando a Camila disse que é preferível Python que o R ... eu mesmo só programo em R. Parabéns ao time do canal LET'S DATA e até a próxima!"", 'likes': 1}, {'comment_text': 'Demorei para assistir mas isso além de um podcast foi uma aula, agora é correr arrumar o linkedin e o currículo com essas dicas incríveis da Camila!', 'likes': 1}, {'comment_text': 'Muito fera obrigado gratidão 🙏', 'likes': 1}, {'comment_text': 'Podcast muito bom, vai me ajudar muito nos meus próximos processos, parabéns pela convidada e pelo pessoal do lets data que levou a conversa por ótimos caminhos!', 'likes': 1}]"
9UG1j0C3zgg,"[{'comment_text': 'nao tem como usar tem que pagar acabei de entrar aqui, fala de alta demanda mais nao tem quase nada sendo gerado uma pena', 'likes': 0}, {'comment_text': 'Ótimo vídeo. Será que ensinar a rodar o stable diffusion na própria máquina valeria um vídeo?\n\nEu usei no colab, mas acho que fiz algo errado, pq as imagens ficam bem piores do que as do midjourney hhaha', 'likes': 1}, {'comment_text': 'Muito boa a explicação, parabéns pelo vídeo!', 'likes': 2}, {'comment_text': 'Muito massa, Leon. Mas para gerar algo no discord/midjourney tem de ter um dos planos dele?', 'likes': 2}]"
p3X89zsm4wc,"[{'comment_text': 'Obrigado pelo conteúdo, Leon!', 'likes': 1}, {'comment_text': 'Muito obrigado pelos serviços prestado!!!', 'likes': 1}, {'comment_text': 'Que video incrível!', 'likes': 1}, {'comment_text': 'Excelente Leon, muito obrigado, você é o cara👏👏👏', 'likes': 1}, {'comment_text': 'Boa! Quando ele ainda estava aberto, eu notei que ele é excelente para sair do 0 mas existe um perigo, principalmente para iniciantes em alguma linguagem: \n\nComo a força dele esta na fala humana, muitas vezes ele te ""convence"" mas o codigo ou teoria esta equivocada. Uma coisa que eu notei no caso em ML é que ele é mestre em leak entre Treino/Teste/Validação, além do fato de que ele costuma presumir coisas que absolutamente não foram pedidas e nem são necessárias. \n\nGalera, sempre prestem atenção e façam uma pesquisa caso se deparem com algo que ele sugeriu e vocês não conhecem a fundo. Se você só sair colando, tem uma chance boa de te atrapalhar. \n\nComo ele funciona bem para muitos casos, ele engana mesmo, passa confiança. Fiquem atentos!\n\nAbraços', 'likes': 3}, {'comment_text': 'Sensacional, Leon. Parabéns pelo conteúdo 👏', 'likes': 2}]"
OXBQz24tUCI,[]
bT8YWchLhRg,"[{'comment_text': 'Conversa sensacional! Muitos aprendizados. Parabéns pelo conteúdo', 'likes': 1}, {'comment_text': 'Acho que a prova de QI é para os muito ruins mesmo... O nível tá tão baixo, é preciso eliminar logo de cara para que não encareça o processo de RH.', 'likes': 0}, {'comment_text': 'Show demais essa entrevista com o Jerry. Espero que ocorram mais entrevistas com essa qualidade. Parabéns a todos...', 'likes': 1}, {'comment_text': 'slc que podcast daora mano, na moral, varios insights, esse cara é foda!', 'likes': 1}, {'comment_text': 'Bom demais!!! 🎉🎉', 'likes': 1}, {'comment_text': 'Mandei recado no direct pro Jerry  , ja vai pra meses e até  agora nada...acho que ele não  quer mais alunos kkk', 'likes': 0}, {'comment_text': 'Valeu 👍', 'likes': 2}, {'comment_text': 'Obrigado pelo convite. Gostei muito de participar do Podcast!\nObrigado a todos que participaram e assistiram.', 'likes': 22}, {'comment_text': 'Incrível a entrevista. Tenho aprendido muito com o Jerry. Muito importantes as dicas que ele passou. Obrigado', 'likes': 1}, {'comment_text': 'Excelente entrevista, quanto insight bom !!!', 'likes': 1}]"
JAP8-yG9P0Y,"[{'comment_text': 'Que simpatia!\nQue didática!\nO que dizer do Leon que mal conheço e já considero pakas.\n\nA minha maior dúvida é:\xa0que algoritmo é esse? Como eu vejo ele?\nEle já está pronto e eu só preciso tratar os dados e passar para ele? Se for isso, o mais importante, então, não seria o algoritmo em si, mas os dados que passamos para ele? Pensei que eu é que teria de criar a Machine Learning do zero.', 'likes': 1}, {'comment_text': 'Parabéns, Leon! Ficou muito boa sua aula, por favor, continue com esses vídeos: são um verdadeiro bem público!', 'likes': 2}, {'comment_text': 'Boa Leon! Adoro seus vídeos!', 'likes': 1}]"
xxvLM7UafZY,"[{'comment_text': 'Se a fonte de dados for de um mysql server ou azure, da pra usar o pyspark com conector odbc tb!', 'likes': 1}, {'comment_text': 'Pra quem nao encontrou os dados, eles podem ser acessados aqui:\n\nhttps://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/enem', 'likes': 2}, {'comment_text': ""Boa, muito bom. 23:52 Esse negócio de formatos não sabia. Ali em deletar colunas pode já ler filtrando somente as que vai usar realmente com o parâmetro 'usecols'. E usar o 'dtype' com chave de colunas e formato pra também já ler no formato convertido. Chunksize + usecols + dtype <333"", 'likes': 2}, {'comment_text': '22:21 int64 significa inferiu poderia usar 64 dígitos em cada datapoint dessa coluna ?', 'likes': 1}, {'comment_text': 'E aí meus amigos, tudo bem? Pandas e memória disponível sempre é uma issue, certo? Vocês já tiveram a oportunidade de trabalhar com o DuckDB? Ele tem uma integração com pandas e literalmente ele vai resolver os problemas de trabalhar localmente com arquivos que não cabem na memória. Sugiro essa talk do Pedro Holanda apresentando essa maravilha: https://www.youtube.com/watch?v=Uk--CezC7KY&t=68s', 'likes': 1}, {'comment_text': 'Muito bom, Leon. Sempre conteúdo de ótima qualidade.', 'likes': 2}, {'comment_text': 'Excelentes dicas Leon. Valeu!', 'likes': 1}]"
GJrgx4xG72o,"[{'comment_text': 'Fala, Galera. Parabéns pelo conteúdo. Acessei o site e tive um pouco de dificuldade de achar o formulário da newsletter. Aqui pra mim os campos de nome e email ficaram da cor do fundo e sem contorno. Apareceu só o texto e por isso, parecia que era só um texto normal ao invés de um ""form field"". Talvez seja um problema do meu navegador, mas achei importante informar pra vcs. Tmj', 'likes': 1}]"
orD7nx0SPuY,"[{'comment_text': 'Esse vídeo foi muito bom, tá me ajudando mt, mas eu fiquei com uma dúvida:\n o pycharm é usado para DS? tô começando a usar agora', 'likes': 0}, {'comment_text': 'Muito bom, professor!! E também fiquei na curiosidade de como fazer isso no Jupyter notebook...', 'likes': 1}, {'comment_text': '👏👏👏👏👏', 'likes': 2}, {'comment_text': 'Como sempre sua didática e seu conhecimento são inspiradores. Depois mostra como usar o Debugger  no Jupyter Notebook', 'likes': 4}]"
8ts-MQ8EiXk,"[{'comment_text': 'Excelente!!!', 'likes': 1}, {'comment_text': 'Que bate papo mais rico, não conhecia vocês, assisti tudo e passou voando, ganharam mais um inscrito! E também estou nessa caminhada na área de dados, grande abraço', 'likes': 2}]"
xTHgJTxlk-k,"[{'comment_text': 'A datarobot é top', 'likes': 1}]"
WLQZktonrUQ,"[{'comment_text': 'Excelente episódio!!!! muito inspirador!!!', 'likes': 1}]"
vnqJsz1Kzo4,"[{'comment_text': ""Olá Leon, td bem? Baixei o código no GitHub e quando fui rodar no meu Jupyter Notebook, momento de criar a primeira worlcloud sem mascara com palavras_radiohead, apareceu a mensagem de erro 'TypeError: expected string or bytes-like object'. Chequei a palavras_radiohead e está tipo 'str'. Pode me ajudar?"", 'likes': 1}, {'comment_text': 'Muito Bom!', 'likes': 1}, {'comment_text': 'Olá, gostaria de saber se a Lets Data em repositorio no GitHub ???', 'likes': 2}, {'comment_text': 'Sou iniciante e não entendo quase nada, mas vejo a aula toda só pelo professor hauahauhauahaua', 'likes': 2}, {'comment_text': 'Muito bom, além da didática do Leon, curte radiohead uiahuia', 'likes': 2}]"
